매출_일련번호,매출년월,시간대_G2,매출금액,연령대_10세,성별,추정라이프스테이지,추정직업군,추정연소득구간,페르소나_1인가구_등급,페르소나_1인가구_스코어,페르소나_액티브시니어_등급,페르소나_액티브시니어_스코어,페르소나_반려동물보유_등급,페르소나_반려동물보유_스코어,페르소나_온라인쇼핑_등급,페르소나_온라인쇼핑_스코어,페르소나_건강관심_등급,페르소나_건강관심_스코어,페르소나_자녀교육관심_등급,페르소나_자녀교육관심_스코어,페르소나_문화활동관심_등급,페르소나_문화활동관심_스코어,페르소나_프리미엄소비_등급,페르소나_프리미엄소비_스코어,페르소나_가격민감_등급,페르소나_가격민감_스코어,페르소나_얼리어답터_등급,페르소나_얼리어답터_스코어,페르소나_아웃도어활동관심_등급,페르소나_아웃도어활동관심_스코어,페르소나_국내여행관심_등급,페르소나_국내여행관심_스코어,페르소나_해외여행관심_등급,페르소나_해외여행관심_스코어,페르소나_배달식선호_등급,페르소나_배달식선호_스코어,페르소나_간편식선호_등급,페르소나_간편식선호_스코어,페르소나_밀키트선호_등급,페르소나_밀키트선호_스코어,개인신용판매_이용금액_등급,주점업종_이용금액_등급,주류판매점업종_이용금액_등급,제과아이스크림업종_이용금액_등급,커피음료업종_이용금액_등급,한식업종_이용금액_등급,일식업종_이용금액_등급,중식업종_이용금액_등급,양식업종_이용금액_등급,부페업종_이용금액_등급,패스트푸드업종_이용금액_등급,간이음식점업종_이용금액_등급,할인점업종_이용금액_등급,마트업종_이용금액_등급,백화점업종_이용금액_등급,편의점업종_이용금액_등급,배달앱업종_이용금액_등급,현금서비스사용여부,가맹점_소재_광역시도,가맹점_소재_시군구,가맹점_소재_행정동,가맹점_지역_상권유형_(추정),매출발생요일,매출발생일_휴일여부,점포번호,포스번호,매출번호,구매수량,제품코드,제품코드명,제품금액,제품수량,제품대분류코드,제품대분류코드명,제품중분류코드,제품중분류코드명,제품소분류코드,제품소분류코드명
281,202009,12-18,76545,20대,F,학생,전문의,6000-8000,3,0.9576,4,0.3807,1,0.4725,4,0.181,4,0.0917,3,0.1002,1,0.4506,4,0.0195,4,0.0574,3,0.5808,2,0.0613,1,0.518,2,0.5544,5,0.5865,4,0.8531,5,0.1727,1,4,2,1,2,5,5,5,1,4,1,4,1,5,1,2,5,N,경북,시군구4,행정동4,상권유형C,Thursday,N,275,10,118598,1,P68914,스낵,44829,2,300,서비스,310,헬스,121,과자
282,202011,12-18,35980,50대,F,취업준비,서비스직,2000-4000,2,0.3027,1,0.3841,1,0.5932,3,0.5168,4,0.6043,2,0.7352,1,0.1801,3,0.5868,3,0.9316,4,0.9557,2,0.536,3,0.4456,5,0.416,4,0.2431,3,0.0288,5,0.7413,4,5,2,3,5,1,1,3,1,3,2,2,3,2,5,3,3,N,대전,시군구3,행정동5,상권유형C,Saturday,N,281,52,187303,7,P32653,간식,41956,3,200,생활,310,헬스,111,콜라
283,202102,06-12,33050,30대,F,직장인,자영업자,0-2000,1,0.9862,4,0.617,4,0.3933,1,0.6608,3,0.5017,3,0.5842,2,0.7447,4,0.4949,5,0.9755,5,0.1779,3,0.6927,5,0.5268,1,0.6397,3,0.4943,3,0.8182,2,0.0855,1,4,3,2,5,2,5,2,3,2,1,1,4,2,4,5,2,N,경기,시군구2,행정동3,상권유형B,Monday,Y,466,74,184609,2,P11973,생필품,19726,3,200,생활,120,스낵,121,과자
284,202011,18-24,78958,20대,F,학생,사무직,4000-6000,1,0.3784,1,0.0608,5,0.5042,5,0.2237,5,0.0771,4,0.5046,4,0.6979,5,0.2153,2,0.0056,3,0.0555,3,0.0576,5,0.7756,3,0.7526,5,0.3346,4,0.7039,1,0.6483,1,5,3,5,1,1,4,3,5,4,3,1,5,3,5,5,4,N,강원,시군구1,행정동3,상권유형A,Wednesday,N,9,90,112625,8,P15107,도시락,28451,3,100,식음료,220,의류,112,사이다
285,202011,06-12,68437,20대,F,직장인,사무직,6000-8000,1,0.1997,4,0.6554,1,0.1057,4,0.5169,5,0.8627,5,0.5995,1,0.5323,4,0.4904,2,0.9007,1,0.2963,1,0.6334,2,0.8038,2,0.1737,4,0.6226,3,0.0885,4,0.2657,3,5,2,2,2,5,1,5,4,1,3,3,3,3,5,1,1,N,부산,시군구1,행정동1,상권유형C,Wednesday,N,174,12,111194,8,P32550,음료,19135,4,200,생활,110,음료,111,콜라
286,202105,00-06,83379,50대,F,은퇴,자영업자,0-2000,3,0.1123,1,0.505,2,0.1677,2,0.6384,4,0.2847,5,0.3359,3,0.1567,1,0.0128,3,0.174,5,0.1568,2,0.3341,5,0.8381,3,0.174,5,0.7588,1,0.147,4,0.7496,5,4,2,3,5,1,5,1,4,3,4,3,1,5,5,3,2,N,광주,시군구3,행정동4,상권유형A,Friday,N,172,2,114244,7,P31262,스낵,28547,2,300,서비스,110,음료,111,콜라
287,202007,18-24,90704,30대,M,학생,전문의,0-2000,3,0.785,3,0.453,4,0.4011,1,0.2144,3,0.9614,1,0.7103,3,0.5569,2,0.9995,1,0.5614,2,0.6955,1,0.8335,4,0.2124,4,0.0436,3,0.3485,1,0.4524,5,0.5194,5,5,2,4,3,1,1,2,4,1,5,3,3,1,3,5,1,N,대구,시군구2,행정동5,상권유형B,Thursday,N,366,14,183992,4,P65226,도시락,21563,1,100,식음료,210,주택,112,사이다
288,202012,00-06,82301,40대,F,학생,서비스직,2000-4000,1,0.5548,4,0.7193,4,0.9149,4,0.3756,5,0.9315,1,0.7797,1,0.1001,3,0.3321,4,0.6781,1,0.0057,1,0.7977,3,0.4578,5,0.1572,2,0.1439,3,0.2999,3,0.1789,5,2,3,5,4,1,1,3,1,4,1,4,4,3,2,4,4,N,충북,시군구5,행정동5,상권유형C,Thursday,N,173,55,108589,1,P86474,간식,42577,1,300,서비스,310,헬스,211,의류
289,202012,00-06,93712,50대,M,취업준비,생산직,4000-6000,2,0.3071,2,0.7583,4,0.3494,3,0.2163,3,0.4341,5,0.7782,1,0.3394,3,0.4802,1,0.3591,3,0.9809,2,0.7939,4,0.831,4,0.2402,3,0.3557,1,0.8673,1,0.4022,1,4,3,3,5,5,2,2,1,1,1,5,3,1,4,3,1,N,전북,시군구3,행정동4,상권유형C,Sunday,N,440,17,161094,4,P35433,도시락,35357,3,200,생활,120,스낵,211,의류
290,202011,12-18,42249,20대,M,은퇴,사무직,4000-6000,2,0.6085,4,0.8463,4,0.2498,1,0.9029,4,0.2286,2,0.2695,2,0.3724,2,0.7848,4,0.529,4,0.8557,1,0.3987,5,0.9419,3,0.0725,3,0.7582,3,0.1928,5,0.5144,1,4,4,5,1,3,3,4,1,5,3,5,5,2,4,2,4,N,서울,시군구1,행정동2,상권유형A,Monday,N,360,95,187542,3,P63582,생필품,9139,2,300,서비스,210,주택,111,콜라
291,202103,00-06,40072,50대,F,직장인,자영업자,4000-6000,3,0.3321,4,0.3748,1,0.7429,5,0.2368,1,0.8349,3,0.6539,1,0.8834,1,0.7128,2,0.6275,2,0.4907,4,0.8225,2,0.543,3,0.3557,2,0.7871,4,0.4171,2,0.996,2,3,3,1,4,1,3,1,5,1,1,4,2,3,3,4,3,N,서울,시군구5,행정동4,상권유형A,Sunday,N,453,35,129385,9,P92640,도시락,1859,2,100,식음료,310,헬스,122,초콜릿
292,202009,18-24,32833,30대,F,자영업,자영업자,2000-4000,5,0.4484,4,0.327,2,0.9491,4,0.1208,2,0.3613,1,0.1481,4,0.4156,1,0.8886,2,0.1939,2,0.9209,4,0.63,1,0.493,5,0.6752,4,0.7856,3,0.2605,2,0.4804,2,4,5,5,5,2,2,2,5,3,5,3,5,4,3,3,3,N,경북,시군구2,행정동2,상권유형C,Tuesday,N,406,81,155763,8,P52404,도시락,48039,3,100,식음료,210,주택,122,초콜릿
293,202105,06-12,24287,20대,M,학생,서비스직,0-2000,4,0.8627,2,0.7143,3,0.4591,3,0.0352,5,0.1636,1,0.4954,5,0.5985,1,0.9413,4,0.9943,2,0.6281,2,0.3787,4,0.7646,5,0.7931,4,0.9746,1,0.1272,3,0.1512,1,4,3,2,3,3,4,3,5,4,5,2,4,5,2,2,4,N,대전,시군구4,행정동5,상권유형C,Monday,N,373,33,108005,2,P28476,음료,18013,3,300,서비스,310,헬스,121,과자
294,202009,00-06,75133,40대,F,자영업,생산직,0-2000,5,0.6682,4,0.5818,1,0.0086,2,0.045,3,0.5516,3,0.0026,4,0.8748,5,0.1892,4,0.2039,5,0.9938,5,0.0807,1,0.9917,4,0.3458,2,0.8248,4,0.2597,5,0.5552,3,3,4,4,5,5,3,5,1,3,3,4,3,1,3,4,1,N,경북,시군구5,행정동1,상권유형B,Thursday,N,177,22,194139,1,P54226,생필품,7984,4,100,식음료,220,의류,111,콜라
295,202012,18-24,71730,60대,F,학생,서비스직,0-2000,1,0.7624,4,0.6318,2,0.6881,2,0.1916,3,0.4894,4,0.1936,4,0.4258,2,0.3904,5,0.0103,5,0.2783,3,0.0668,4,0.4259,1,0.0838,2,0.9686,5,0.86,2,0.2202,3,5,3,3,4,2,1,2,5,2,5,4,1,5,5,5,5,N,충남,시군구4,행정동5,상권유형B,Tuesday,N,364,9,160275,9,P15727,음료,37274,4,300,서비스,310,헬스,122,초콜릿
296,202012,12-18,80337,30대,F,자영업,생산직,6000-8000,2,0.5835,2,0.5555,2,0.4151,3,0.6082,5,0.85,4,0.6317,4,0.8837,5,0.6868,2,0.9443,5,0.9969,2,0.2514,2,0.1651,2,0.7594,3,0.6268,2,0.7155,3,0.8796,3,1,4,4,4,1,5,2,5,2,3,5,2,4,3,5,2,N,전남,시군구3,행정동4,상권유형C,Saturday,N,211,20,172923,5,P99725,스낵,23950,3,300,서비스,120,스낵,111,콜라
297,202104,06-12,17571,40대,M,학생,서비스직,6000-8000,4,0.9914,4,0.7727,5,0.6736,1,0.0176,2,0.7293,5,0.8744,5,0.1365,2,0.045,5,0.4291,2,0.1802,1,0.2996,4,0.8343,2,0.3912,2,0.2293,1,0.9142,3,0.8341,1,2,3,1,1,4,2,5,4,5,3,4,4,2,3,5,5,N,울산,시군구1,행정동5,상권유형C,Saturday,N,172,75,125085,7,P92188,도시락,27960,3,100,식음료,310,헬스,111,콜라
298,202011,12-18,49634,30대,F,은퇴,서비스직,4000-6000,2,0.2414,5,0.19,2,0.2777,2,0.2867,2,0.8761,1,0.049,1,0.3648,2,0.7169,5,0.3986,5,0.3534,3,0.9275,4,0.7104,2,0.2514,2,0.6082,3,0.4053,5,0.1286,3,2,1,3,4,3,4,3,3,1,4,1,5,2,5,4,5,N,광주,시군구2,행정동2,상권유형C,Wednesday,N,113,76,173200,6,P12834,생필품,32017,4,300,서비스,310,헬스,112,사이다
299,202009,12-18,22973,40대,M,취업준비,생산직,0-2000,5,0.2623,5,0.5557,5,0.0024,2,0.0582,1,0.7347,2,0.5586,5,0.0947,3,0.0049,5,0.2757,2,0.9353,5,0.9999,1,0.1451,5,0.4707,2,0.1978,4,0.2404,5,0.5884,3,5,4,1,5,1,2,2,1,4,3,3,3,4,5,4,3,N,전북,시군구3,행정동3,상권유형C,Saturday,N,448,67,162662,3,P33889,도시락,15838,1,200,생활,310,헬스,111,콜라
300,202006,00-06,89410,40대,F,학생,무직,4000-6000,3,0.0926,4,0.1581,4,0.3445,1,0.4037,2,0.6422,3,0.6368,3,0.5609,5,0.9141,5,0.0258,5,0.3705,1,0.1437,1,0.3235,1,0.9699,4,0.0853,2,0.0263,4,0.6965,2,3,4,3,2,3,4,5,2,2,4,4,2,4,4,2,3,Y,충남,시군구5,행정동2,상권유형C,Tuesday,Y,364,8,112514,8,P24509,도시락,28593,4,300,서비스,310,헬스,211,의류
301,202010,18-24,27473,40대,M,취업준비,자영업자,8000+,2,0.554,4,0.4073,4,0.7048,1,0.0486,3,0.5002,3,0.9324,3,0.9573,3,0.7182,4,0.2646,5,0.2098,1,0.9428,4,0.5532,5,0.3726,3,0.3013,3,0.4952,1,0.2517,4,5,3,3,1,3,2,1,2,1,2,5,4,2,1,2,5,N,충북,시군구1,행정동4,상권유형C,Wednesday,N,25,32,156991,2,P88752,생필품,33007,2,300,서비스,120,스낵,121,과자
302,202103,06-12,15246,40대,F,학생,서비스직,2000-4000,5,0.6134,5,0.664,5,0.3931,2,0.6075,4,0.9876,1,0.6551,4,0.657,1,0.5655,2,0.3933,4,0.0595,3,0.7065,3,0.7315,5,0.9595,2,0.3628,4,0.0397,2,0.6264,5,5,3,2,3,2,2,4,4,3,3,2,5,3,5,1,3,N,대전,시군구1,행정동4,상권유형B,Monday,N,175,60,110952,8,P87894,스낵,30888,1,100,식음료,310,헬스,211,의류
303,202006,12-18,57416,20대,M,학생,무직,4000-6000,3,0.726,2,0.4931,5,0.2192,2,0.6884,2,0.9592,3,0.103,3,0.6261,2,0.4289,4,0.5203,5,0.149,5,0.4986,1,0.7806,3,0.2532,1,0.7089,3,0.0043,4,0.4627,5,3,1,3,5,2,1,5,5,1,5,5,1,5,1,1,2,N,충북,시군구2,행정동4,상권유형A,Friday,N,290,93,167010,9,P40818,간식,45106,3,100,식음료,220,의류,111,콜라
304,202104,18-24,88027,40대,M,직장인,서비스직,4000-6000,5,0.3354,4,0.3796,2,0.464,2,0.7313,3,0.8489,5,0.1467,2,0.2782,5,0.988,4,0.4576,1,0.3552,2,0.9547,5,0.1557,2,0.1055,1,0.3631,4,0.6047,5,0.4821,4,4,5,2,4,1,5,3,3,4,5,2,2,1,1,5,5,N,울산,시군구4,행정동4,상권유형A,Saturday,N,353,24,193095,1,P58134,음료,19863,4,100,식음료,110,음료,111,콜라
305,202012,12-18,91657,40대,M,취업준비,무직,2000-4000,3,0.0123,1,0.885,3,0.7523,4,0.2243,2,0.7753,1,0.6358,1,0.9311,1,0.7365,2,0.879,4,0.4212,4,0.7137,2,0.2168,2,0.1572,4,0.0031,1,0.1648,4,0.5513,4,2,4,1,5,5,4,5,1,4,1,2,4,3,2,3,3,N,경남,시군구5,행정동1,상권유형A,Saturday,N,154,19,186089,8,P68348,도시락,25503,1,200,생활,310,헬스,111,콜라
306,202007,12-18,10513,40대,F,취업준비,서비스직,4000-6000,1,0.6322,2,0.7728,3,0.1194,3,0.8685,5,0.5776,5,0.2156,1,0.4715,5,0.8073,5,0.9113,1,0.5425,3,0.5937,5,0.7441,4,0.7738,5,0.9169,2,0.5598,3,0.5701,1,1,5,1,3,1,4,4,2,2,1,5,1,5,3,3,2,N,전북,시군구1,행정동3,상권유형C,Wednesday,N,353,84,148260,7,P99554,간식,37649,1,200,생활,220,의류,111,콜라
307,202009,06-12,33263,20대,M,은퇴,전문의,4000-6000,4,0.9987,5,0.5263,5,0.6918,1,0.6903,3,0.2598,3,0.9283,1,0.267,5,0.8254,4,0.3172,4,0.8136,1,0.2095,1,0.1161,4,0.5376,2,0.5894,3,0.5735,4,0.7098,2,3,3,2,3,3,4,3,4,4,3,1,5,1,1,1,1,N,울산,시군구3,행정동2,상권유형B,Saturday,N,136,47,188506,7,P83955,스낵,37092,3,300,서비스,220,의류,122,초콜릿
308,202012,00-06,16199,30대,F,학생,서비스직,4000-6000,1,0.2945,2,0.9501,1,0.6673,5,0.0567,1,0.8754,3,0.9207,2,0.9877,2,0.0219,3,0.9596,2,0.0134,5,0.2444,2,0.4982,3,0.5819,5,0.2108,2,0.7238,2,0.4524,1,2,2,4,2,1,1,1,4,4,1,2,2,3,3,1,2,N,경북,시군구5,행정동5,상권유형A,Friday,N,78,38,199392,8,P71552,간식,49818,3,300,서비스,110,음료,111,콜라
309,202009,06-12,31478,30대,M,취업준비,자영업자,6000-8000,4,0.1839,5,0.4244,3,0.3707,4,0.4408,4,0.0108,4,0.9487,4,0.4231,3,0.0547,5,0.8649,5,0.8411,1,0.9115,3,0.546,3,0.9677,4,0.2523,5,0.3831,4,0.7226,3,4,2,3,5,5,3,1,1,4,4,5,3,3,5,1,2,N,부산,시군구5,행정동3,상권유형C,Friday,N,44,39,145570,9,P50934,생필품,10321,3,100,식음료,310,헬스,211,의류
310,202007,18-24,53850,20대,M,학생,서비스직,4000-6000,3,0.2818,3,0.7881,2,0.9703,3,0.7678,2,0.2274,4,0.293,2,0.3715,3,0.1984,1,0.9276,3,0.5772,3,0.215,3,0.3394,5,0.5048,2,0.1241,4,0.7052,3,0.4859,4,3,5,1,4,2,5,4,2,1,3,5,3,2,4,3,4,N,경북,시군구4,행정동1,상권유형B,Tuesday,N,442,42,132303,1,P75107,음료,46062,4,100,식음료,310,헬스,122,초콜릿
311,202101,12-18,28776,20대,F,직장인,무직,0-2000,4,0.4254,2,0.1679,2,0.8947,1,0.3109,5,0.4037,4,0.7169,3,0.035,4,0.6552,4,0.7063,4,0.7565,4,0.0323,4,0.7963,4,0.117,3,0.9065,3,0.366,4,0.6628,4,1,1,3,4,5,2,4,2,1,5,1,2,3,5,3,3,N,울산,시군구4,행정동2,상권유형A,Saturday,Y,329,49,118765,3,P67969,음료,23913,4,200,생활,310,헬스,112,사이다
312,202102,06-12,7684,30대,F,취업준비,사무직,0-2000,5,0.2509,1,0.2858,4,0.3162,5,0.3816,2,0.5862,1,0.663,1,0.1783,4,0.6239,4,0.1983,2,0.757,4,0.2662,1,0.0554,4,0.7185,1,0.2302,4,0.0978,5,0.2631,1,3,4,3,5,1,1,4,1,1,1,5,1,4,5,1,2,N,인천,시군구2,행정동3,상권유형B,Saturday,N,412,79,162141,5,P62178,음료,11148,4,300,서비스,120,스낵,112,사이다
313,202007,18-24,51492,40대,M,학생,전문의,4000-6000,3,0.347,3,0.3381,2,0.0311,4,0.6296,5,0.5609,2,0.0356,3,0.8092,1,0.3252,1,0.1952,1,0.9032,5,0.4806,2,0.7774,2,0.2079,2,0.9406,5,0.31,5,0.5417,3,3,1,2,5,2,5,2,2,5,1,3,1,2,5,4,5,N,경북,시군구2,행정동2,상권유형B,Sunday,N,268,69,138315,8,P29057,생필품,14919,1,200,생활,110,음료,112,사이다
314,202009,18-24,6227,20대,M,학생,사무직,8000+,5,0.6382,3,0.1058,4,0.3083,3,0.0555,4,0.1758,5,0.2656,5,0.4827,2,0.973,3,0.9087,4,0.0934,4,0.382,2,0.646,1,0.5815,4,0.2643,1,0.0076,4,0.468,5,1,4,1,5,2,1,1,5,2,2,5,2,3,1,1,3,N,충남,시군구5,행정동4,상권유형C,Wednesday,N,291,9,157280,6,P11561,스낵,17921,2,200,생활,220,의류,121,과자
315,202008,18-24,23442,50대,M,은퇴,무직,0-2000,1,0.345,3,0.5018,5,0.2047,1,0.9669,1,0.1048,1,0.2068,2,0.9549,5,0.0931,3,0.507,2,0.5715,4,0.9358,3,0.5072,3,0.8544,5,0.7993,3,0.4625,4,0.3022,1,3,3,2,3,1,4,1,1,3,1,3,2,3,4,5,3,Y,부산,시군구4,행정동4,상권유형A,Thursday,N,146,14,194945,6,P56622,생필품,49643,3,300,서비스,210,주택,122,초콜릿
316,202101,06-12,1051,30대,F,학생,생산직,0-2000,1,0.3961,1,0.1923,4,0.5473,1,0.1745,4,0.2223,4,0.3708,3,0.0839,2,0.7767,2,0.8905,4,0.909,1,0.4186,5,0.8724,2,0.4771,2,0.0105,3,0.7403,1,0.0623,3,5,3,1,1,3,5,1,3,3,1,3,5,1,1,5,4,N,광주,시군구1,행정동4,상권유형C,Monday,Y,44,60,106807,4,P91719,스낵,5924,4,200,생활,120,스낵,121,과자
317,202102,12-18,9595,50대,F,자영업,자영업자,6000-8000,5,0.04,2,0.6342,1,0.9187,2,0.0267,4,0.3487,3,0.9531,5,0.6159,2,0.4809,5,0.7205,3,0.7192,2,0.8891,3,0.2022,2,0.3143,5,0.4833,4,0.7847,1,0.5102,2,5,4,2,3,3,4,2,4,5,4,2,4,2,4,4,2,N,경기,시군구1,행정동3,상권유형A,Friday,N,357,84,129281,2,P99478,생필품,11327,2,100,식음료,120,스낵,211,의류
318,202102,12-18,44195,30대,M,은퇴,무직,4000-6000,3,0.9179,1,0.1901,1,0.8703,2,0.0053,3,0.0141,1,0.8456,4,0.72,4,0.4188,4,0.2125,5,0.0966,2,0.5947,5,0.8008,3,0.5755,4,0.3692,2,0.2321,5,0.0098,5,5,2,3,3,3,1,5,4,1,4,3,1,4,5,3,3,N,충남,시군구5,행정동4,상권유형C,Thursday,N,84,96,151885,4,P57069,도시락,35884,3,300,서비스,220,의류,122,초콜릿
319,202105,06-12,85220,30대,F,직장인,전문의,2000-4000,3,0.4069,2,0.1235,3,0.3058,2,0.3996,1,0.6925,1,0.2934,2,0.6212,1,0.0256,2,0.3848,2,0.614,2,0.5241,2,0.1878,5,0.127,2,0.3346,2,0.1056,3,0.3898,3,5,3,5,5,3,5,4,2,4,4,3,4,3,1,4,4,N,전남,시군구1,행정동2,상권유형A,Saturday,N,437,89,172242,5,P97027,스낵,47396,1,100,식음료,310,헬스,112,사이다
320,202103,06-12,77687,40대,M,취업준비,사무직,2000-4000,1,0.3281,5,0.9691,3,0.4286,3,0.8843,3,0.2477,5,0.53,1,0.5299,1,0.7278,3,0.9678,3,0.7999,1,0.1602,2,0.9904,5,0.3076,4,0.9922,4,0.1854,3,0.3707,4,5,5,5,1,1,1,1,3,1,3,3,4,5,3,2,2,N,대전,시군구4,행정동4,상권유형A,Saturday,Y,46,65,192438,1,P10814,도시락,4420,4,100,식음료,210,주택,112,사이다
321,202009,00-06,10784,60대,M,자영업,서비스직,6000-8000,2,0.0865,1,0.6582,4,0.0365,1,0.8198,4,0.3514,1,0.1923,5,0.5783,4,0.7716,1,0.0196,4,0.2749,1,0.271,1,0.0328,4,0.5041,5,0.7209,5,0.9837,4,0.6338,3,1,3,4,5,2,5,2,4,5,2,2,1,5,1,5,3,N,전남,시군구2,행정동1,상권유형B,Sunday,N,488,24,187161,2,P83956,음료,20731,3,100,식음료,310,헬스,211,의류
322,202007,06-12,4448,30대,F,은퇴,서비스직,4000-6000,4,0.6342,4,0.9365,3,0.5442,2,0.912,1,0.3349,1,0.2774,4,0.6895,1,0.319,1,0.7146,4,0.6325,3,0.8672,2,0.5532,4,0.2542,2,0.2558,1,0.3121,1,0.9874,5,3,1,2,4,3,1,5,4,3,5,3,3,2,3,5,1,Y,전남,시군구1,행정동4,상권유형C,Sunday,N,232,9,145386,7,P28890,음료,20745,1,200,생활,210,주택,122,초콜릿
323,202101,12-18,34470,30대,F,학생,무직,6000-8000,5,0.8638,1,0.4899,1,0.0634,5,0.5338,2,0.5118,1,0.065,1,0.8633,5,0.517,4,0.9788,1,0.8404,4,0.78,2,0.168,3,0.0393,1,0.7524,4,0.4293,1,0.858,2,3,5,5,1,4,3,3,5,2,5,1,4,5,3,4,4,N,울산,시군구1,행정동2,상권유형B,Tuesday,Y,142,73,155288,3,P42129,간식,25168,3,200,생활,210,주택,211,의류
324,202104,18-24,65573,40대,M,은퇴,무직,2000-4000,5,0.0412,3,0.0334,5,0.9386,5,0.4487,4,0.8598,4,0.6426,3,0.3363,2,0.6064,5,0.1041,4,0.5239,5,0.4474,2,0.408,3,0.5851,2,0.1296,4,0.0756,1,0.9751,4,5,3,5,2,2,5,2,2,3,2,5,4,5,5,5,5,N,경남,시군구3,행정동5,상권유형C,Sunday,Y,133,90,147262,3,P41533,간식,38294,2,200,생활,120,스낵,111,콜라
325,202105,18-24,74926,40대,F,은퇴,생산직,4000-6000,3,0.1453,5,0.5744,5,0.8669,1,0.3859,3,0.1494,5,0.6569,5,0.4597,1,0.3676,2,0.272,3,0.1942,5,0.909,4,0.1479,3,0.4012,4,0.9259,1,0.7893,3,0.9509,3,2,3,2,1,3,2,2,1,4,5,3,3,3,2,2,4,N,제주,시군구5,행정동2,상권유형A,Monday,N,339,41,110484,1,P30229,도시락,26432,2,100,식음료,110,음료,111,콜라
326,202008,00-06,82489,20대,M,학생,무직,8000+,3,0.1464,2,0.5583,4,0.2142,4,0.0464,5,0.3407,1,0.8385,5,0.6359,4,0.6156,2,0.547,5,0.5497,3,0.8192,3,0.1938,5,0.3906,1,0.4264,4,0.4485,1,0.0741,3,4,1,1,5,5,1,2,5,3,4,2,3,4,4,5,3,N,광주,시군구1,행정동5,상권유형B,Thursday,N,415,13,170084,4,P35756,생필품,7360,2,200,생활,120,스낵,121,과자
327,202008,12-18,34878,30대,F,학생,서비스직,2000-4000,1,0.6023,1,0.015,4,0.6994,5,0.9095,2,0.692,4,0.8716,1,0.3142,1,0.4341,4,0.8438,4,0.588,5,0.1121,4,0.061,5,0.9968,2,0.1907,5,0.0874,1,0.2819,4,4,1,3,4,4,1,3,4,1,2,5,4,2,4,1,5,N,강원,시군구4,행정동3,상권유형B,Sunday,Y,238,73,182007,1,P59153,스낵,12469,4,200,생활,120,스낵,112,사이다
328,202006,00-06,17632,30대,M,자영업,자영업자,2000-4000,1,0.9212,3,0.8612,5,0.568,3,0.4962,4,0.0442,4,0.1601,3,0.1788,2,0.8781,3,0.5065,4,0.4029,3,0.6059,1,0.008,3,0.1118,2,0.2728,5,0.4729,4,0.297,1,3,2,3,4,1,2,3,3,2,2,3,5,1,4,4,5,N,경북,시군구3,행정동5,상권유형A,Friday,N,218,37,178070,5,P12498,스낵,37059,4,100,식음료,220,의류,122,초콜릿
329,202007,12-18,3608,60대,M,학생,생산직,0-2000,3,0.4378,2,0.62,3,0.8014,2,0.4551,3,0.83,2,0.743,5,0.9662,2,0.7185,1,0.0596,2,0.6796,3,0.7988,5,0.7193,4,0.1542,1,0.1551,1,0.7133,4,0.071,5,2,5,4,3,2,2,3,3,5,3,4,1,2,5,2,3,N,강원,시군구4,행정동2,상권유형A,Sunday,N,439,64,136024,1,P29497,도시락,12327,1,200,생활,110,음료,122,초콜릿
330,202012,06-12,15539,30대,M,자영업,서비스직,6000-8000,3,0.3438,5,0.7447,1,0.4757,3,0.5152,2,0.9618,1,0.1347,4,0.1947,3,0.1105,4,0.1272,2,0.4333,2,0.8083,1,0.4535,1,0.8763,3,0.9306,5,0.473,2,0.8467,4,1,4,1,3,1,2,4,5,2,1,5,3,4,1,5,4,N,전북,시군구3,행정동3,상권유형B,Thursday,N,226,18,182796,1,P35221,스낵,25095,2,100,식음료,210,주택,121,과자
331,202012,06-12,7451,30대,F,학생,서비스직,0-2000,1,0.7658,5,0.4939,4,0.1918,2,0.7942,5,0.6076,3,0.3737,3,0.2327,3,0.7996,2,0.3759,4,0.8774,4,0.0913,1,0.0456,3,0.1303,5,0.3059,2,0.9686,4,0.8953,3,3,3,3,1,5,3,2,5,3,2,5,5,3,1,3,5,N,전남,시군구1,행정동4,상권유형C,Friday,N,166,36,121869,9,P17831,간식,19113,2,300,서비스,210,주택,111,콜라
332,202010,12-18,86219,60대,F,자영업,생산직,2000-4000,3,0.7426,4,0.6184,3,0.6398,2,0.2245,4,0.9565,1,0.5155,2,0.6187,1,0.3375,1,0.3225,1,0.7916,2,0.2246,3,0.939,5,0.9176,1,0.1429,3,0.8717,1,0.605,3,1,4,2,4,5,2,3,5,1,4,2,3,3,4,1,2,N,충북,시군구3,행정동4,상권유형A,Thursday,N,461,72,145196,4,P90666,생필품,22228,4,200,생활,210,주택,112,사이다
333,202009,06-12,27572,30대,M,취업준비,생산직,6000-8000,4,0.2468,4,0.2575,4,0.0803,5,0.7099,3,0.4131,1,0.0495,4,0.0774,2,0.9356,3,0.2197,3,0.8048,3,0.413,4,0.6656,4,0.672,5,0.8129,2,0.5148,3,0.891,4,4,2,3,1,3,3,5,3,1,3,3,1,3,1,2,4,Y,대전,시군구5,행정동2,상권유형C,Sunday,N,401,85,125037,3,P49429,스낵,37387,2,300,서비스,310,헬스,112,사이다
